decile,count,mean_ret,std_ret
D1,146,-0.0002084506812131567,0.02365119127347134
D2,146,-0.00017426272235134197,0.031545169834818296
D3,146,8.323599449822692e-05,0.021747331652418028
D4,146,-0.001164402426557629,0.017316361205727562
D5,147,-0.0018986969964965555,0.023570019447491874
D6,146,-0.0021402259535743535,0.018215143160771597
D7,146,-0.00379684031987301,0.02434829514151299
D8,146,0.00046346579733828295,0.02317945151362851
D9,146,0.001953274723914586,0.03309215671237953
D10,147,-0.0012103318028684647,0.03633265692655122
