decile,count,mean,std
D1,146,-0.00020845068121314782,0.023651191273471307
D2,146,-0.00017426272235134614,0.03154516983481827
D3,146,8.323599449822986e-05,0.021747331652418
D4,146,-0.0011644024265576212,0.01731636120572753
D5,147,-0.0018986969964965416,0.023570019447491847
D6,146,-0.0021402259535743553,0.018215143160771566
D7,146,-0.003796840319873004,0.02434829514151296
D8,146,0.00046346579733828506,0.02317945151362848
D9,146,0.0019532747239145885,0.0330921567123795
D10,147,-0.0012103318028684582,0.036332656926551195
