decile,count,mean,std,min,max
D1,147,1.5184891992761005,0.5546013625347641,0.9706572522548992,3.314855709985254
D2,147,0.7780658074118426,0.10751629563161813,0.6196178205450038,0.9702239556730996
D3,146,0.4748835017871983,0.0746684465902893,0.3535668263916997,0.6133727369058201
D4,147,0.2722940063964961,0.044854635533920675,0.1914434516254505,0.3529810751470446
D5,147,0.11903753921832473,0.04028379304950768,0.0518335089117441,0.1907298921214662
D6,146,-0.02078148286182397,0.04016121904269943,-0.0861969874071969,0.0516863805386799
D7,147,-0.1748633491266104,0.044851875539843475,-0.2511735305545251,-0.0883649354265157
D8,146,-0.3600250126528133,0.06381443751369176,-0.4797772409874812,-0.2530620850025322
D9,147,-0.622612973075417,0.10395468263255382,-0.8389048406554244,-0.4809144447392987
D10,147,-1.9838472567387906,1.3935037204671128,-6.064089707331669,-0.8402967637010786
